song_name,artist_name,album_name,thumbnail,link,queryname
Last Resort,Papa Roach,Infest,https://i.scdn.co/image/ab67616d0000b273985bf5ede2fe4a048ee85f28,https://www.youtube.com/watch?v=j0lSpNtjPM8,Last Resort by Papa Roach
The Game,Disturbed,The Sickness (10th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b27394a42e7b21b0fab4f4773db2,https://www.youtube.com/watch?v=BsIXGVOvah8,The Game by Disturbed
The Night,Disturbed,Indestructible (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2731aeed60b435be44dd68a57a3,https://www.youtube.com/watch?v=VyctTU_0FiM,The Night by Disturbed
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Clean Version),https://i.scdn.co/image/ab67616d0000b2735aa75a47afe2804e280bd149,https://www.youtube.com/watch?v=mg3duvrq2uc,The Diary of Jane - Single Version by Breaking Benjamin
Part of Me,Disturbed,Divisive,https://i.scdn.co/image/ab67616d0000b27384979e281b0b2739d478f53c,https://www.youtube.com/watch?v=kmF8rdKkYhA,Part of Me by Disturbed
Waiting On The Sky To Change,STARSET,Waiting On The Sky To Change,https://i.scdn.co/image/ab67616d0000b273398ca26c0320f0d95ffb0b1d,https://www.youtube.com/watch?v=baQVB2W1KAQ,Waiting On The Sky To Change by STARSET
Zombie,Bad Wolves,Disobey,https://i.scdn.co/image/ab67616d0000b27398e5206660da079d853eba62,https://www.youtube.com/watch?v=9XaS93WMRQQ,Zombie by Bad Wolves
Painkiller,Three Days Grace,Human,https://i.scdn.co/image/ab67616d0000b2738443a724ced4e3bef303fb7a,https://www.youtube.com/watch?v=U8ai37gFvMk,Painkiller by Three Days Grace
Awake and Alive,Skillet,Awake,https://i.scdn.co/image/ab67616d0000b27343e531d5f69170aba281ef43,https://www.youtube.com/watch?v=2aJUnltwsqs,Awake and Alive by Skillet
Monster,Skillet,Awake,https://i.scdn.co/image/ab67616d0000b27343e531d5f69170aba281ef43,https://www.youtube.com/watch?v=1mjlM_RnsVE,Monster by Skillet
Untraveled Road,Thousand Foot Krutch,OXYGEN: INHALE,https://i.scdn.co/image/ab67616d0000b273d7880a2979fa42e65e290c72,https://www.youtube.com/watch?v=jSD5vSSGLOM,Untraveled Road by Thousand Foot Krutch
Take It Out On Me,Thousand Foot Krutch,Welcome To The Masquerade (Fan Edition),https://i.scdn.co/image/ab67616d0000b2734bba6fb7de117c1202cbdc08,https://www.youtube.com/watch?v=ZAuYNq-vNdQ,Take It Out On Me by Thousand Foot Krutch
War of Change,Thousand Foot Krutch,The End Is Where We Begin,https://i.scdn.co/image/ab67616d0000b2731a2e4290b83a4c810d019fcd,https://www.youtube.com/watch?v=HdnTSXUWd3E,War of Change by Thousand Foot Krutch
Perfect Insanity,Disturbed,Indestructible (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2731aeed60b435be44dd68a57a3,https://www.youtube.com/watch?v=ta-gZYNrj20,Perfect Insanity by Disturbed
